date,close,open,high,low,volume,•Ï‰»—¦ %
2023/7/30,17.1,13.98,17.42,13.57,,28.28%
2023/7/23,13.33,14.29,15.02,12.74,,-1.99%
2023/7/16,13.6,13.78,14.23,13.12,,1.95%
2023/7/9,13.34,16.08,16.21,13.12,,-10.05%
2023/7/2,14.83,13.85,17.08,13.47,,9.12%
2023/6/25,13.59,14.43,14.71,12.96,,1.12%
2023/6/18,13.44,14.09,14.67,12.73,,-0.74%
2023/6/11,13.54,14.44,15.06,13.48,,-2.10%
2023/6/4,13.83,15.28,15.29,13.5,,-5.27%
2023/5/28,14.6,17.53,18.4,14.42,,-18.66%
2023/5/21,17.95,17.45,20.81,16.82,,6.78%
2023/5/14,16.81,17.44,18.3,15.85,,-1.29%
2023/5/7,17.03,17.73,18.31,16.36,,-0.93%
2023/4/30,17.19,16.41,21.33,15.53,,8.94%
2023/4/23,15.78,18.22,19.86,15.72,,-5.90%
2023/4/16,16.77,17.58,17.79,16.17,,-1.76%
2023/4/9,17.07,19.39,20.05,17.07,,-7.23%
2023/4/2,18.4,19.79,20.08,18.35,,-1.60%
2023/3/26,18.7,22.05,22.93,18.52,,-13.98%
2023/3/19,21.74,27.77,28.91,19.94,,-14.78%
2023/3/12,25.51,24.05,30.81,22.27,,2.86%
2023/3/5,24.8,19.05,28.97,18.49,,34.13%
2023/2/26,18.49,21.99,22.02,18.16,,-14.67%
2023/2/19,21.67,21.06,23.63,20.89,,8.24%
2023/2/12,20.02,21.66,21.69,18.11,,-2.48%
2023/2/5,20.53,19.23,21.94,18.43,,12.00%
2023/1/29,18.33,19.76,20.7,17.06,,-0.97%
2023/1/22,18.51,20.21,20.9,17.97,,-6.75%
2023/1/15,19.85,19.44,21.71,18.71,,8.17%
2023/1/8,18.35,21.75,22.46,18.01,,-13.16%
2023/1/1,21.13,23.09,23.76,21,,-2.49%
2022/12/25,21.67,21.67,22.8,20.96,,3.83%
2022/12/18,20.87,22.63,24.3,19.94,,-7.74%
2022/12/11,22.62,24.4,25.84,21.07,,-0.92%
2022/12/4,22.83,20.3,23.28,19.78,,19.78%
2022/11/27,19.06,22.09,22.63,18.95,,-7.02%
2022/11/20,20.5,24.05,24.12,20.31,,-11.33%
2022/11/13,23.12,23.99,26.22,22.86,,2.66%
2022/11/6,22.52,25.67,26.59,22.37,,-8.27%
2022/10/30,24.55,26.91,27.07,24,,-4.66%
2022/10/23,25.75,30.65,30.95,25.75,,-13.27%
2022/10/16,29.69,32.27,32.59,29.24,,-7.28%
2022/10/9,32.02,32.93,34.53,31.14,,2.10%
2022/10/2,31.36,33,33.06,28.5,,-0.82%
2022/9/25,31.62,31.74,34.88,29.39,,5.68%
2022/9/18,29.92,27.69,32.31,25.55,,13.76%
2022/9/11,26.3,23.58,28.45,23.16,,15.40%
2022/9/4,22.79,26.51,27.8,22.64,,-10.52%
2022/8/28,25.47,26.86,27.69,23.19,,-0.35%
2022/8/21,25.56,22.41,25.9,21.67,,24.08%
2022/8/14,20.6,20.74,21.27,19.41,,5.48%
2022/8/7,19.53,21.74,22.34,19.12,,-7.66%
2022/7/31,21.15,22.41,24.68,20.76,,-0.84%
2022/7/24,21.33,24.33,25.31,21.21,,-7.38%
2022/7/17,23.03,24.83,25.91,22.41,,-4.95%
2022/7/10,24.23,26.42,29.06,24.13,,-1.66%
2022/7/3,24.64,27.96,29.82,24.43,,-7.72%
2022/6/26,26.7,28.3,30.22,26.47,,-1.95%
2022/6/19,27.23,32.06,32.16,26.83,,-12.53%
2022/6/12,31.13,31.37,35.05,27.76,,12.18%
2022/6/5,27.75,25.37,29.63,23.74,,11.94%
2022/5/29,24.79,26.16,28.35,24.33,,-3.62%
2022/5/22,25.72,28.98,31.07,25.57,,-12.61%
2022/5/15,29.43,30.01,33.11,25.51,,1.94%
2022/5/8,28.87,31.9,35.48,28.78,,-4.37%
2022/5/1,30.19,33.35,36.64,24.94,,-9.61%
2022/4/24,33.4,30.04,34.34,26.8,,18.40%
2022/4/17,28.21,24.52,28.27,19.75,,24.27%
2022/4/10,22.7,23.09,25.38,20.85,,7.28%
2022/4/3,21.16,20.75,24.78,18.45,,7.79%
2022/3/27,19.63,22.14,23.33,18.67,,-5.67%
2022/3/20,20.81,25.14,25.36,20.8,,-12.82%
2022/3/13,23.87,31.03,33.83,23.85,,-22.37%
