date,close,open,high,low,volume,•Ï‰»—¦ %
2024/4/11,"39,380.00","39,350.00","39,445.00","39,350.00",0.01K,0.79%
2024/4/10,"39,070.00","39,620.00","39,737.50","39,015.00",,-1.40%
2024/4/9,"39,625.00","39,527.50","39,812.50","39,297.50",,0.69%
2024/4/8,"39,355.00","39,480.00","39,595.00","39,340.00",0.01K,0.10%
2024/4/5,"39,317.50","39,190.00","39,395.00","38,780.00",,0.26%
2024/4/4,"39,215.00","40,065.00","40,285.00","39,075.00",,-2.16%
2024/4/3,"40,080.00","39,545.00","40,085.00","39,250.00",,1.29%
2024/4/2,"39,570.00","39,947.50","40,185.00","39,442.50",31.42K,-0.72%
2024/4/1,"39,855.00","40,565.00","40,600.00","39,900.00",0.01K,-1.64%
2024/3/29,"40,520.00","40,210.00","40,570.00","40,180.00",27.16K,0.33%
2024/3/28,"40,387.50","40,385.00","40,495.00","40,082.50",31.91K,-0.02%
2024/3/27,"40,395.00","40,307.50","40,765.00","40,252.50",35.25K,0.23%
2024/3/26,"40,302.50","40,180.00","40,482.50","40,072.50",27.83K,0.48%
2024/3/25,"40,110.00","40,680.00","40,750.00","40,060.00",28.35K,-1.45%
2024/3/22,"40,700.00","40,595.00","40,915.00","40,490.00",33.25K,-0.27%
2024/3/21,"40,810.00","40,362.50","40,915.00","40,230.00",44.32K,1.03%
2024/3/20,"40,395.00","39,895.00","40,485.00","39,885.00",23.21K,1.24%
2024/3/19,"39,900.00","39,357.50","39,957.50","39,177.50",38.66K,1.00%
2024/3/18,"39,505.00","38,370.00","39,580.00","38,335.00",42.62K,2.85%
2024/3/15,"38,410.00","38,605.00","38,685.00","38,080.00",35.87K,0.29%
2024/3/14,"38,300.00","38,350.00","38,672.50","38,082.50",31.26K,-0.23%
2024/3/13,"38,390.00","38,940.00","38,940.00","38,235.00",47.67K,-1.44%
2024/3/12,"38,952.50","38,250.00","38,977.50","38,060.00",46.27K,1.73%
2024/3/11,"38,290.00","38,815.00","38,815.00","38,082.50",57.60K,-2.90%
2024/3/8,"39,435.00","39,230.00","39,770.00","38,920.00",77.21K,-0.39%
2024/3/7,"39,590.00","40,090.00","40,570.00","39,515.00",20.99K,-0.68%
2024/3/6,"39,860.00","39,890.00","39,970.00","39,440.00",20.46K,-0.13%
2024/3/5,"39,910.00","39,860.00","40,010.00","39,590.00",15.74K,-0.52%
2024/3/4,"40,120.00","39,955.00","40,360.00","39,895.00",48.30K,0.30%
2024/3/1,"40,000.00","39,235.00","40,020.00","38,995.00",44.10K,1.68%
2024/2/29,"39,340.00","38,945.00","39,383.00","38,887.50",37.10K,0.96%
2024/2/28,"38,965.00","39,245.00","39,300.00","38,955.00",22.12K,-0.69%
2024/2/27,"39,237.50","39,240.00","39,410.00","39,095.00",29.52K,0.02%
2024/2/26,"39,230.00","39,450.00","39,620.00","39,165.00",29.33K,-0.58%
2024/2/23,"39,460.00","39,115.00","39,530.00","39,075.00",21.81K,0.82%
2024/2/22,"39,140.00","38,305.00","39,160.00","38,215.00",39.03K,0.89%
2024/2/21,"38,795.00","38,200.00","38,870.00","38,082.50",31.54K,0.79%
2024/2/20,"38,490.00","38,490.00","38,740.00","38,265.00",27.95K,-0.05%
2024/2/19,"38,510.00","38,445.00","38,600.00","38,270.00",31.15K,-0.14%
2024/2/16,"38,565.00","38,150.00","38,855.00","38,140.00",47.88K,-0.36%
2024/2/15,"38,705.00","38,102.50","38,822.50","37,922.50",34.76K,1.52%
2024/2/14,"38,125.00","37,707.50","38,165.00","37,572.50",44.82K,1.10%
2024/2/13,"37,710.00","37,540.00","38,375.00","37,457.50",36.86K,0.49%
2024/2/12,"37,525.00","37,085.00","37,583.00","37,052.50",,1.72%
2024/2/9,"36,890.00","36,920.00","37,280.00","36,760.00",71.86K,0.08%
2024/2/8,"36,860.00","36,090.00","36,950.00","36,050.00",74.34K,2.02%
2024/2/7,"36,130.00","36,110.00","36,190.00","35,820.00",61.74K,0.14%
2024/2/6,"36,080.00","36,400.00","36,400.00","36,050.00",47.05K,-0.50%
2024/2/5,"36,260.00","36,460.00","36,462.50","36,117.50",35.17K,0.46%
2024/2/2,"36,095.00","35,890.00","36,435.00","35,720.00",35.11K,-0.41%
2024/2/1,"36,245.00","35,945.00","36,300.00","35,720.00",41.89K,0.83%
2024/1/31,"35,945.00","35,690.00","36,383.00","35,660.00",31.82K,0.66%
2024/1/30,"35,708.00","36,215.00","36,233.00","35,685.00",21.72K,-0.96%
2024/1/29,"36,055.00","35,800.00","36,075.00","35,800.00",0.00K,0.98%
2024/1/26,"35,705.00","36,200.00","36,230.00","35,665.00",39.89K,-0.56%
2024/1/25,"35,905.00","36,165.00","36,295.00","35,880.00",34.69K,-0.70%
2024/1/24,"36,157.50","36,453.00","36,460.00","36,085.00",37.97K,-0.80%
2024/1/23,"36,450.00","36,618.00","36,975.00","36,032.50",39.07K,-0.49%
2024/1/22,"36,630.00","36,465.00","36,465.00","36,465.00",0.00K,1.75%
2024/1/19,"36,000.00","35,585.00","36,140.00","35,530.00",42.36K,1.14%
2024/1/18,"35,595.00","35,368.00","36,108.00","35,345.00",49.13K,0.64%
2024/1/17,"35,367.50","35,880.00","36,233.00","35,290.00",57.03K,-0.82%
2024/1/16,"35,660.00","35,990.00","36,190.00","35,570.00",41.84K,-1.00%
2024/1/15,"36,020.00","35,623.00","36,193.00","35,528.00",33.75K,1.15%
2024/1/12,"35,610.00","35,320.00","35,710.00","34,990.00",78.38K,0.76%
2024/1/11,"35,343.00","34,900.00","35,750.00","34,825.00",49.72K,1.23%
2024/1/10,"34,915.00","33,900.00","35,030.00","33,872.50",44.34K,2.99%
2024/1/9,"33,902.50","33,800.00","33,970.00","33,580.00",35.19K,0.32%
2024/1/8,"33,795.00","33,470.00","33,913.00","33,237.50",18.42K,1.38%
2024/1/5,"33,335.00","33,240.00","33,555.00","33,210.00",34.01K,0.01%
2024/1/4,"33,333.00","32,980.00","33,493.00","32,667.50",47.89K,1.06%
2024/1/3,"32,985.00","33,213.00","33,338.00","32,965.00",13.11K,-0.63%
2024/1/2,"33,195.00","33,060.00","33,413.00","32,943.00",15.55K,0.41%
2024/1/1,"33,060.00","33,200.00","33,302.50","33,042.50",,-1.06%
2023/12/29,"33,415.00","33,490.00","33,620.00","33,260.00",24.99K,-0.12%
2023/12/28,"33,455.00","33,420.00","33,540.00","33,262.50",27.28K,0.15%
2023/12/27,"33,405.00","33,465.00","33,690.00","33,367.50",24.33K,-0.16%
2023/12/26,"33,460.00","33,245.00","33,490.00","33,102.50",7.05K,0.65%
2023/12/25,"33,245.00","33,055.00","33,400.00","33,035.00",13.09K,0.50%
2023/12/22,"33,080.00","33,185.00","33,190.00","33,185.00",0.02K,-0.32%
2023/12/21,"33,187.50","33,185.00","33,273.00","33,007.50",39.05K,-0.01%
2023/12/20,"33,190.00","33,400.00","33,755.00","32,985.00",45.07K,-0.60%
2023/12/19,"33,390.00","32,720.00","33,613.00","32,572.50",35.97K,1.99%
2023/12/18,"32,740.00","32,720.00","32,793.00","32,462.50",30.98K,-0.52%
2023/12/15,"32,910.00","32,535.00","32,925.00","32,535.00",0.02K,0.67%
2023/12/14,"32,690.00","32,975.00","33,088.00","32,420.00",47.24K,-0.86%
2023/12/13,"32,975.00","32,890.00","33,018.00","32,622.50",27.92K,0.23%
2023/12/12,"32,900.00","33,063.00","33,100.00","32,690.00",36.41K,-0.50%
2023/12/11,"33,065.00","32,623.00","33,130.00","32,607.50",46.44K,2.62%
2023/12/8,"32,220.00","32,380.00","32,525.00","32,305.00",0.02K,-0.63%
2023/12/7,"32,425.00","33,052.50","33,107.50","32,090.00",52.55K,-1.92%
2023/12/6,"33,060.00","32,867.50","33,387.50","32,837.50",36.68K,0.62%
2023/12/5,"32,857.50","32,932.50","33,000.00","32,607.50",44.58K,-0.21%
2023/12/4,"32,927.50","33,255.00","33,255.00","32,820.00",19.62K,-1.46%
2023/12/1,"33,415.00","33,475.00","33,585.00","33,370.00",34.86K,-0.47%
2023/11/30,"33,572.50","33,235.00","33,587.50","33,160.00",33.21K,1.02%
2023/11/29,"33,235.00","33,242.50","33,523.00","33,182.50",34.85K,-0.06%
2023/11/28,"33,255.00","33,540.00","33,548.00","33,222.50",29.78K,-0.84%
2023/11/27,"33,538.00","33,730.00","33,815.00","33,397.50",24.61K,-0.18%
2023/11/24,"33,600.00","33,720.00","33,830.00","33,595.00",21.93K,-0.54%
2023/11/23,"33,783.00","33,713.00","33,788.00","33,627.50",16.47K,0.21%
2023/11/22,"33,713.00","33,170.00","33,773.00","33,165.00",31.03K,1.64%
2023/11/21,"33,170.00","33,455.00","33,468.00","33,102.50",30.08K,-0.85%
2023/11/20,"33,455.00","33,540.00","33,860.00","33,192.50",38.86K,-0.40%
2023/11/17,"33,590.00","33,435.00","33,610.00","33,205.00",34.09K,0.85%
2023/11/16,"33,308.00","33,405.00","33,620.00","33,210.00",44.81K,-0.27%
2023/11/15,"33,397.50","33,240.00","33,593.00","33,198.00",47.68K,0.47%
2023/11/14,"33,240.00","32,798.00","33,300.00","32,667.50",30.37K,1.33%
2023/11/13,"32,805.00","32,875.00","32,920.00","32,500.00",36.02K,0.71%
2023/11/10,"32,575.00","32,660.00","32,875.00","32,245.00",35.90K,0.05%
2023/11/9,"32,560.00","32,293.00","32,873.00","32,200.00",0.12K,0.82%
2023/11/8,"32,295.00","32,508.00","32,513.00","32,047.50",37.34K,-0.67%
2023/11/7,"32,513.00","32,550.00","32,565.00","32,205.00",39.39K,-0.12%
2023/11/6,"32,553.00","32,605.00","32,768.00","32,477.50",41.47K,0.55%
2023/11/3,"32,375.00","31,925.00","32,445.00","31,815.00",18.11K,0.27%
2023/11/2,"32,288.00","32,047.50","32,347.50","31,820.00",39.39K,0.75%
2023/11/1,"32,048.00","31,367.50","32,050.00","31,365.00",47.95K,2.18%
2023/10/31,"31,365.00","30,675.00","31,403.00","30,542.50",48.06K,2.27%
2023/10/30,"30,668.00","30,650.00","30,858.00","30,382.50",34.95K,-1.13%
2023/10/27,"31,020.00","30,570.00","31,090.00","30,460.00",44.77K,0.76%
2023/10/26,"30,785.00","30,775.00","30,885.00","30,460.00",40.21K,0.00%
2023/10/25,"30,785.00","31,332.50","31,463.00","30,730.00",32.30K,-1.12%
2023/10/24,"31,135.00","31,020.00","31,210.00","30,545.00",55.07K,0.42%
2023/10/23,"31,005.00","31,235.00","31,370.00","30,970.00",36.33K,-0.64%
2023/10/20,"31,205.00","31,430.00","31,730.00","31,105.00",43.67K,-0.64%
2023/10/19,"31,405.00","31,510.00","31,525.00","31,475.00",0.01K,-0.38%
2023/10/18,"31,525.00","32,025.00","32,103.00","31,497.50",36.26K,-1.58%
2023/10/17,"32,030.00","32,100.00","32,255.00","31,812.50",42.42K,-0.20%
2023/10/16,"32,095.00","31,920.00","32,128.00","31,555.00",53.85K,-0.51%
2023/10/13,"32,260.00","32,630.00","32,645.00","32,095.00",46.37K,-0.22%
2023/10/12,"32,330.00","32,153.00","32,658.00","32,095.00",46.45K,0.50%
2023/10/11,"32,170.00","31,850.00","32,188.00","31,805.00",40.00K,0.99%
2023/10/10,"31,855.00","31,345.00","31,970.00","31,345.00",47.77K,1.59%
2023/10/9,"31,355.00","31,093.00","31,378.00","30,927.50",27.47K,1.05%
2023/10/6,"31,030.00","30,880.00","30,880.00","30,880.00",0.05K,0.10%
2023/10/5,"31,000.00","30,755.00","31,195.00","30,557.50",51.70K,0.85%
2023/10/4,"30,737.50","30,705.00","30,825.00","30,267.50",56.36K,-1.48%
2023/10/3,"31,200.00","31,600.00","31,600.00","30,657.50",51.06K,-1.22%
2023/10/2,"31,585.00","32,102.50","32,408.00","31,478.00",56.10K,-1.34%
