time,jst,open,high,low,close,volume
2022-01-31 22:00:00+00:00,2022-02-01 07:00:00+09:00,35048.5,35077.0,35038.5,35045.0,751
2022-01-31 22:30:00+00:00,2022-02-01 07:30:00+09:00,35048.0,35062.0,35024.5,35058.1,518
2022-01-31 23:00:00+00:00,2022-02-01 08:00:00+09:00,35059.1,35073.5,35053.5,35066.3,901
2022-01-31 23:30:00+00:00,2022-02-01 08:30:00+09:00,35066.8,35082.0,35051.7,35070.5,639
2022-02-01 00:00:00+00:00,2022-02-01 09:00:00+09:00,35071.0,35072.5,35009.5,35025.5,674
2022-02-01 00:30:00+00:00,2022-02-01 09:30:00+09:00,35026.0,35035.0,34963.0,34974.5,1162
2022-02-01 01:00:00+00:00,2022-02-01 10:00:00+09:00,34974.0,35004.6,34958.0,34998.6,770
2022-02-01 01:30:00+00:00,2022-02-01 10:30:00+09:00,34997.6,35006.5,34970.1,34992.7,685
2022-02-01 02:00:00+00:00,2022-02-01 11:00:00+09:00,34993.2,35045.5,34982.7,35030.0,617
2022-02-01 02:30:00+00:00,2022-02-01 11:30:00+09:00,35030.5,35058.0,35011.5,35055.5,729
2022-02-01 03:00:00+00:00,2022-02-01 12:00:00+09:00,35055.0,35061.2,35026.0,35054.7,620
2022-02-01 03:30:00+00:00,2022-02-01 12:30:00+09:00,35054.2,35059.1,35033.1,35059.1,559
2022-02-01 04:00:00+00:00,2022-02-01 13:00:00+09:00,35057.1,35072.0,35042.7,35052.4,524
2022-02-01 04:30:00+00:00,2022-02-01 13:30:00+09:00,35052.9,35082.1,35049.1,35071.0,474
2022-02-01 05:00:00+00:00,2022-02-01 14:00:00+09:00,35067.0,35090.5,35036.2,35038.3,703
2022-02-01 05:30:00+00:00,2022-02-01 14:30:00+09:00,35038.8,35066.0,35035.0,35065.0,599
2022-02-01 06:00:00+00:00,2022-02-01 15:00:00+09:00,35064.1,35135.6,35051.6,35113.6,1536
2022-02-01 06:30:00+00:00,2022-02-01 15:30:00+09:00,35112.6,35129.6,35080.6,35101.6,1535
2022-02-01 07:00:00+00:00,2022-02-01 16:00:00+09:00,35099.6,35219.6,35087.6,35186.6,3330
2022-02-01 07:30:00+00:00,2022-02-01 16:30:00+09:00,35187.1,35202.6,35140.1,35174.1,2294
2022-02-01 08:00:00+00:00,2022-02-01 17:00:00+09:00,35167.6,35169.6,35013.6,35014.6,2920
2022-02-01 08:30:00+00:00,2022-02-01 17:30:00+09:00,35008.6,35058.1,34971.7,35039.7,2954
2022-02-01 09:00:00+00:00,2022-02-01 18:00:00+09:00,35038.7,35086.6,35029.6,35049.6,2561
2022-02-01 09:30:00+00:00,2022-02-01 18:30:00+09:00,35049.1,35089.1,35024.7,35045.2,2300
2022-02-01 10:00:00+00:00,2022-02-01 19:00:00+09:00,35043.2,35125.6,35035.6,35075.1,2251
2022-02-01 10:30:00+00:00,2022-02-01 19:30:00+09:00,35075.6,35095.7,35058.1,35061.1,1986
2022-02-01 11:00:00+00:00,2022-02-01 20:00:00+09:00,35062.6,35069.1,35035.6,35065.1,1827
2022-02-01 11:30:00+00:00,2022-02-01 20:30:00+09:00,35064.6,35107.7,35059.6,35082.2,1582
2022-02-01 12:00:00+00:00,2022-02-01 21:00:00+09:00,35082.7,35140.6,35077.1,35123.6,1659
2022-02-01 12:30:00+00:00,2022-02-01 21:30:00+09:00,35124.6,35160.6,35089.7,35155.6,1861
2022-02-01 13:00:00+00:00,2022-02-01 22:00:00+09:00,35156.5,35200.1,35123.1,35184.1,2582
2022-02-01 13:30:00+00:00,2022-02-01 22:30:00+09:00,35182.5,35229.6,35075.1,35160.2,6794
2022-02-01 14:00:00+00:00,2022-02-01 23:00:00+09:00,35160.5,35163.1,34985.6,35070.1,6827
2022-02-01 14:30:00+00:00,2022-02-01 23:30:00+09:00,35073.1,35172.6,35041.6,35171.6,6270
2022-02-01 15:00:00+00:00,2022-02-02 00:00:00+09:00,35168.1,35195.6,35104.1,35129.1,5735
2022-02-01 15:30:00+00:00,2022-02-02 00:30:00+09:00,35127.6,35176.1,35058.6,35157.7,5091
