date,close,open,high,low,volume,•Ï‰»—¦ %
2024/5/26,"16,973.64","16,990.70","17,032.65","16,873.97",1.67B,0.31%
2024/5/19,"16,920.79","16,702.02","16,996.38","16,678.37",5.45B,1.41%
2024/5/12,"16,685.97","16,400.31","16,797.83","16,334.86",6.41B,2.11%
2024/5/5,"16,340.87","16,208.54","16,437.39","16,197.86",4.81B,1.14%
2024/4/28,"16,156.33","16,007.00","16,204.71","15,557.64",5.30B,1.43%
2024/4/21,"15,927.90","15,396.13","15,981.00","15,265.66",4.80B,4.23%
2024/4/14,"15,282.01","16,276.47","16,295.27","15,222.78",4.84B,-5.52%
2024/4/7,"16,175.09","16,285.18","16,464.60","16,092.02",4.53B,-0.45%
2024/3/31,"16,248.52","16,397.05","16,490.65","16,046.56",4.94B,-0.80%
2024/3/24,"16,379.46","16,335.30","16,476.38","16,279.17",4.11B,-0.30%
2024/3/17,"16,428.82","16,154.92","16,538.86","15,951.86",5.04B,2.85%
2024/3/10,"15,973.17","16,052.63","16,275.45","15,925.91",7.34B,-0.70%
2024/3/3,"16,085.11","16,264.21","16,449.70","15,862.63",5.56B,-1.17%
2024/2/25,"16,274.94","16,014.45","16,302.24","15,924.72",6.01B,1.74%
2024/2/18,"15,996.82","15,679.84","16,134.22","15,451.65",4.23B,1.40%
2024/2/11,"15,775.65","15,980.62","16,080.07","15,551.44",5.73B,-1.34%
2024/2/4,"15,990.66","15,613.99","16,007.29","15,471.68",4.90B,2.31%
2024/1/28,"15,628.95","15,470.66","15,664.21","15,158.49",5.13B,1.12%
2024/1/21,"15,455.36","15,393.05","15,629.07","15,333.63",4.78B,0.94%
2024/1/14,"15,310.97","14,908.26","15,310.97","14,706.23",4.22B,2.26%
2024/1/7,"14,972.76","14,564.47","15,063.61","14,560.20",4.87B,3.09%
2023/12/31,"14,524.07","14,873.70","14,887.80","14,477.57",4.19B,-3.25%
2023/12/24,"15,011.35","15,028.69","15,150.07","14,955.37",3.89B,0.12%
2023/12/17,"14,992.97","14,814.02","15,069.29","14,776.29",5.31B,1.21%
2023/12/10,"14,813.92","14,340.13","14,855.62","14,324.57",8.04B,2.85%
2023/12/3,"14,403.97","14,168.66","14,416.92","14,058.52",5.36B,0.69%
2023/11/26,"14,305.03","14,239.31","14,423.22","14,127.05",5.31B,0.38%
2023/11/19,"14,250.86","14,134.75","14,359.61","14,134.20",2.88B,0.89%
2023/11/12,"14,125.48","13,745.96","14,194.36","13,687.78",4.88B,2.37%
2023/11/5,"13,798.11","13,514.08","13,802.53","13,435.99",4.81B,2.37%
2023/10/29,"13,478.28","12,750.46","13,520.28","12,691.56",4.70B,6.61%
2023/10/22,"12,643.01","12,930.85","13,170.39","12,543.86",4.49B,-2.62%
2023/10/15,"12,983.81","13,453.81","13,602.25","12,977.43",4.53B,-3.16%
2023/10/8,"13,407.23","13,326.22","13,714.14","13,277.48",4.11B,-0.18%
2023/10/1,"13,431.34","13,217.99","13,472.27","13,008.60",4.35B,1.60%
2023/9/24,"13,219.32","13,172.54","13,382.98","12,963.16",4.46B,0.06%
2023/9/17,"13,211.81","13,669.96","13,751.28","13,200.64",4.44B,-3.62%
2023/9/10,"13,708.33","13,884.03","13,957.57","13,684.24",6.61B,-0.39%
2023/9/3,"13,761.53","13,994.54","14,060.85","13,642.47",3.41B,-1.93%
2023/8/27,"14,031.82","13,695.36","14,149.62","13,626.64",4.32B,3.25%
2023/8/20,"13,590.65","13,347.26","13,834.68","13,325.59",4.09B,2.26%
2023/8/13,"13,290.78","13,599.00","13,789.16","13,161.76",4.58B,-2.59%
2023/8/6,"13,644.85","13,972.45","13,997.15","13,609.98",4.88B,-1.78%
2023/7/30,"13,892.07","14,337.90","14,370.91","13,881.35",5.09B,-2.97%
2023/7/23,"14,316.66","14,081.63","14,360.20","13,997.13",4.50B,2.02%
2023/7/16,"14,032.80","14,149.92","14,446.55","14,020.45",5.27B,-0.57%
2023/7/9,"14,113.70","13,645.37","14,232.11","13,584.87",4.89B,3.32%
2023/7/2,"13,660.72","13,798.70","13,844.50","13,567.25",3.51B,-0.92%
2023/6/25,"13,787.92","13,468.75","13,816.67","13,334.42",4.73B,2.19%
2023/6/18,"13,492.52","13,642.29","13,711.18","13,441.56",6.45B,-1.44%
2023/6/11,"13,689.57","13,326.37","13,864.06","13,302.58",7.22B,3.25%
2023/6/4,"13,259.14","13,238.48","13,385.95","13,089.48",4.75B,0.14%
2023/5/28,"13,240.77","13,109.10","13,256.21","12,889.37",4.81B,2.04%
2023/5/21,"12,975.69","12,664.44","13,001.91","12,415.85",4.51B,2.51%
2023/5/14,"12,657.90","12,301.17","12,731.73","12,263.35",4.48B,3.04%
2023/5/7,"12,284.74","12,231.68","12,364.65","12,174.06",4.62B,0.40%
2023/4/30,"12,235.41","12,210.05","12,264.83","11,925.37",5.09B,0.07%
2023/4/23,"12,226.58","12,053.47","12,227.72","11,798.77",4.81B,1.28%
2023/4/16,"12,072.46","12,108.23","12,245.43","11,986.82",4.51B,-0.42%
2023/4/9,"12,123.46","11,975.13","12,205.72","11,916.54",4.46B,0.29%
2023/4/2,"12,087.96","12,146.09","12,224.68","11,898.36",3.51B,-1.10%
2023/3/26,"12,221.91","11,868.54","12,227.93","11,635.03",4.62B,3.37%
2023/3/19,"11,823.96","11,614.39","12,013.99","11,550.69",4.99B,1.66%
2023/3/12,"11,630.51","11,041.46","11,773.11","10,982.80",7.78B,4.41%
2023/3/5,"11,138.89","11,736.87","11,827.92","11,093.86",5.10B,-4.71%
2023/2/26,"11,689.01","11,517.19","11,699.63","11,273.61",5.01B,2.58%
2023/2/19,"11,394.94","11,640.37","11,684.14","11,334.46",3.77B,-3.33%
2023/2/12,"11,787.27","11,759.09","12,071.29","11,673.21",4.77B,0.59%
2023/2/5,"11,718.12","11,904.41","12,150.22","11,630.54",5.00B,-2.41%
2023/1/29,"12,006.96","11,512.34","12,269.55","11,388.54",5.75B,3.31%
2023/1/22,"11,621.71","11,171.94","11,691.89","11,069.17",4.93B,4.32%
2023/1/15,"11,140.43","11,070.00","11,223.41","10,804.57",4.04B,0.55%
2023/1/8,"11,079.16","10,662.11","11,084.01","10,589.59",4.88B,4.82%
2023/1/1,"10,569.29","10,562.06","10,613.06","10,265.04",3.95B,0.98%
2022/12/25,"10,466.48","10,462.19","10,502.08","10,207.47",3.25B,-0.30%
2022/12/18,"10,497.86","10,707.44","10,753.57","10,313.32",4.60B,-1.94%
2022/12/11,"10,705.41","11,015.48","11,571.64","10,642.10",7.76B,-2.72%
2022/12/4,"11,004.62","11,380.99","11,425.51","10,910.62",4.30B,-3.99%
2022/11/27,"11,461.50","11,147.57","11,546.77","10,944.37",4.99B,2.09%
2022/11/20,"11,226.36","11,091.01","11,310.82","10,975.66",2.60B,0.72%
2022/11/13,"11,146.06","11,233.90","11,492.62","11,006.21",4.59B,-1.57%
