date,close,open,high,low,volume,•Ï‰»—¦ %
2022/3/13,"26,735.00","25,175.00","26,610.00","24,945.00",0.15K,6.56%
2022/3/6,"25,090.00","26,080.00","26,185.00","24,505.00",280.59K,-3.89%
2022/2/27,"26,105.00","26,485.00","27,020.00","25,770.00",301.44K,-1.51%
2022/2/20,"26,505.00","27,090.00","27,125.00","25,540.00",342.19K,-2.21%
2022/2/13,"27,105.00","27,225.00","27,545.00","26,695.00",293.26K,-0.48%
2022/2/6,"27,235.00","27,600.00","27,880.00","27,155.00",73.87K,-0.69%
2022/1/30,"27,425.00","26,950.00","27,560.00","26,950.00",0.01K,2.64%
2022/1/23,"26,720.00","27,270.00","27,270.00","26,670.00",0.03K,-2.98%
2022/1/16,"27,540.00","28,305.00","28,500.00","27,520.00",0.02K,-2.38%
2022/1/9,"28,210.00","28,400.00","28,475.00","27,965.00",0.19K,-0.93%
2022/1/2,"28,475.00","29,020.00","29,350.00","28,525.00",0.03K,-1.15%
2021/12/26,"28,805.00","28,730.00","29,080.00","28,550.00",113.57K,0.24%
2021/12/19,"28,735.00","27,440.00","28,200.00","27,440.00",0.01K,0.70%
2021/12/12,"28,535.00","28,570.00","28,570.00","28,570.00",0.00K,0.44%
2021/12/5,"28,410.00","28,075.00","28,935.00","27,580.00",267.29K,1.19%
2021/11/28,"28,075.00","28,740.00","28,790.00","27,375.00",441.51K,-2.38%
2021/11/21,"28,760.00","29,765.00","29,915.00","28,595.00",200.35K,-3.39%
2021/11/14,"29,770.00","29,595.00","29,965.00","29,380.00",158.60K,0.59%
2021/11/7,"29,595.00","29,255.00","29,660.00","29,255.00",41.05K,-0.05%
2021/10/31,"29,610.00","29,530.00","29,530.00","29,530.00",0.00K,2.87%
2021/10/24,"28,785.00","29,050.00","29,050.00","29,010.00",0.01K,-0.29%
2021/10/17,"28,870.00","28,825.00","28,845.00","28,825.00",0.00K,-0.86%
2021/10/10,"29,120.00","28,080.00","29,150.00","27,900.00",242.57K,3.54%
2021/10/3,"28,125.00","27,810.00","27,810.00","27,500.00",0.17K,-2.34%
2021/9/26,"28,800.00","30,015.00","30,015.00","30,015.00",0.01K,-4.43%
2021/9/19,"30,135.00","30,785.00","31,215.00","28,905.00",0.05K,-0.76%
2021/9/12,"30,365.00","30,445.00","30,455.00","30,445.00",0.01K,0.66%
2021/9/5,"30,165.00","29,155.00","30,255.00","29,055.00",281.76K,3.61%
